trade_date,ticker,open_price,close_price,volume,sector,validated,currency,exchange,notes
2025-09-01,Aapl,192.47,191.90,21646536,Technology,NaN,NaN,Nasdaq,Gap Up
2025-09-01,Msft,456.51,459.76,NaN,Technology,NaN,NaN,NaN,NaN
2025-09-01,NaN,151.27,150.45,20405836,Consumer Discretionary,NaN,Usd,Nasdaq,NaN
2025-09-01,NaN,139.61,141.17,12795579,NaN,True,NaN,Nyse,Gap Down
2025-09-01,NaN,1190.21,1198.56,16389274,Semiconductors,NaN,Usd,Nyse,NaN
2025-09-01,Tsla,245.81,244.27,13350388,Automotive,NaN,Usd,Nasdaq,NaN
2025-09-01,Meta,493.91,491.42,12963843,Communication Services,False,Usd,Nasdaq,Gap Down
2025-09-01,Nflx,603.91,599.53,NaN,Communication Services,NaN,Usd,Nyse,Eod
2025-09-02,Aapl,NaN,188.92,10513474,Technology,NaN,NaN,Nyse,Pre-Earnings
2025-09-02,Msft,450.93,NaN,17277392,Technology,NaN,Usd,Nyse,Eod
2025-09-02,Amzn,NaN,NaN,24690780,Consumer Discretionary,True,NaN,Nyse,NaN
2025-09-02,NaN,NaN,142.16,10718842,Communication Services,True,NaN,Nyse,NaN
2025-09-02,Nvda,1180.14,1176.78,14094696,Semiconductors,False,NaN,NaN,Rev Miss
2025-09-02,Tsla,NaN,242.69,NaN,Automotive,False,Usd,NaN,NaN
2025-09-02,Meta,493.87,498.86,11887391,Communication Services,True,NaN,Nasdaq,NaN
2025-09-02,Nflx,NaN,592.66,21608458,Communication Services,NaN,NaN,NaN,Eod
2025-09-03,Aapl,NaN,191.24,14508076,Technology,NaN,NaN,Nasdaq,Gap Down
2025-09-03,Msft,461.15,461.28,19595278,Technology,NaN,NaN,NaN,Pre-Earnings
2025-09-03,Amzn,152.58,152.26,15180231,Consumer Discretionary,True,NaN,Nyse,Gap Up
2025-09-03,Googl,NaN,142.15,26850869,Communication Services,False,Usd,Nasdaq,NaN
2025-09-03,Nvda,NaN,1185.85,20497116,Semiconductors,NaN,Usd,Nasdaq,Eod
2025-09-03,Tsla,246.40,245.27,NaN,Automotive,NaN,NaN,NaN,Gap Up
2025-09-03,Meta,498.06,503.78,14129142,Communication Services,NaN,NaN,Nyse,NaN
2025-09-03,Nflx,595.84,NaN,25825512,Communication Services,False,NaN,Nyse,NaN
2025-09-04,Aapl,191.03,189.90,13637583,NaN,NaN,NaN,Nasdaq,Pre-Earnings
2025-09-04,Msft,459.39,459.05,NaN,Technology,False,Usd,NaN,Gap Up
2025-09-04,NaN,153.32,NaN,NaN,NaN,False,NaN,Nasdaq,Rev Miss
2025-09-04,Googl,NaN,139.76,21481080,Communication Services,False,Usd,NaN,NaN
2025-09-04,Nvda,1170.02,1168.81,13879183,Semiconductors,True,NaN,Nyse,Gap Up
2025-09-04,NaN,242.88,NaN,18100553,Automotive,True,NaN,Nyse,Gap Down
2025-09-04,Meta,497.77,501.24,NaN,Communication Services,True,Usd,NaN,NaN
2025-09-04,Nflx,598.32,598.00,12610631,Communication Services,True,Usd,NaN,Gap Up
2025-09-05,NaN,191.78,NaN,16723175,Technology,NaN,NaN,Nyse,NaN
2025-09-05,Msft,NaN,NaN,8352061,Technology,False,NaN,Nyse,Eod
2025-09-05,Amzn,151.52,NaN,14869174,Consumer Discretionary,False,NaN,NaN,Pre-Earnings
2025-09-05,Googl,140.85,139.93,14453664,Communication Services,True,NaN,Nasdaq,NaN
2025-09-05,Nvda,1182.79,1194.65,26249454,Semiconductors,NaN,Usd,Nasdaq,Gap Down
2025-09-05,Tsla,NaN,247.70,18533645,Automotive,True,NaN,Nyse,Gap Down
2025-09-05,Meta,501.15,499.63,13419204,Communication Services,True,NaN,Nasdaq,Gap Down
2025-09-05,NaN,NaN,615.14,12069464,Communication Services,False,NaN,Nyse,Rev Miss
2025-09-08,NaN,NaN,191.86,NaN,Technology,NaN,NaN,NaN,Eod
2025-09-08,Msft,457.52,459.51,NaN,NaN,False,Usd,Nyse,NaN
2025-09-08,Amzn,151.69,153.27,23437878,Consumer Discretionary,NaN,NaN,NaN,NaN
2025-09-08,NaN,142.70,142.99,14501755,Communication Services,False,Usd,Nasdaq,Rev Miss
2025-09-08,Nvda,1176.38,1181.80,7701521,Semiconductors,True,Usd,Nyse,Eod
2025-09-08,NaN,246.91,NaN,14507099,Automotive,False,NaN,Nasdaq,NaN
2025-09-08,Meta,492.97,492.95,9875627,Communication Services,NaN,NaN,Nyse,NaN
2025-09-08,Nflx,598.68,597.17,10608256,Communication Services,NaN,NaN,Nasdaq,NaN
2025-09-09,NaN,NaN,190.98,15815047,Technology,True,NaN,Nyse,NaN
2025-09-09,NaN,456.55,451.79,13875045,Technology,NaN,Usd,Nasdaq,Gap Down
2025-09-09,Amzn,152.16,149.57,12146366,Consumer Discretionary,NaN,NaN,Nyse,Gap Up
2025-09-09,Googl,137.92,136.55,17649607,Communication Services,NaN,NaN,Nasdaq,Eod
2025-09-09,Nvda,1170.34,1176.41,26113271,Semiconductors,False,Usd,Nasdaq,Rev Miss
2025-09-09,Tsla,248.78,247.89,22284450,Automotive,False,NaN,NaN,Rev Miss
2025-09-09,NaN,501.25,NaN,15043130,Communication Services,True,NaN,NaN,Gap Up
2025-09-09,Nflx,594.38,593.09,12996923,Communication Services,True,NaN,NaN,NaN
2025-09-10,Aapl,191.32,192.19,NaN,Technology,NaN,NaN,Nyse,NaN
